// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

7285,507,100	// Holy Thread
7287,507,100	// Holier Thread
2657,507,100	// Laboratory Permit
12622,507,100	// Reins of Mount
6075,0,100	    // Crystalized Teardrop

2201,0,100   // Sunglasses
2202,0,100   // Sunglasses
2203,0,100   // Glasses
2204,0,100   // Glasses
2205,0,100   // Diver Goggles
2206,0,100   // Wedding Veil
2207,0,100   // Fancy Flower
2208,0,100   // Ribbon
2209,0,100   // Ribbon
2210,0,100   // Hair Band
2211,0,100   // Bandana
2212,0,100   // Eye Patch
2213,0,100   // Kitty Band
2214,0,100   // Bunny Band
2215,0,100   // Flower Band
2216,0,100   // Biretta
2217,0,100   // Biretta
2218,0,100   // Flu Mask
2219,0,100   // Flu Mask
2220,0,100   // Hat
2221,0,100   // Hat
2222,0,100   // Turban
2223,0,100   // Turban
2224,0,100   // Goggles
2225,0,100   // Goggles
2226,0,100   // Cap
2227,0,100   // Cap
2228,0,100   // Helm
2229,0,100   // Helm
2230,0,100   // Gemmed Sallet
2231,0,100   // Gemmed Sallet
2232,0,100   // Circlet
2233,0,100   // Circlet
2234,0,100   // Tiara
2235,0,100   // Crown
2236,0,100   // Santa Hat
2237,0,100   // Bandit Beard
2239,0,100   // Monocle
2240,0,100   // Beard
2241,0,100   // Grampa Beard
2242,0,100   // Purple Glasses
2243,0,100   // Geek Glasses
2244,0,100   // Big Ribbon
2245,0,100   // Sweet Gent
2246,0,100   // Golden Gear
2247,0,100   // Romantic Gent
2248,0,100   // Western Grace
